,Ano,Área Plantada (ha),Área Colhida (ha),Produção (ton),Produtividade (ton/ha),Savitzky-Golay,Precipitacao_total_mm,Temp_media_C,Umidade_media
Ano,1.0,0.3110124383189999,0.3110124383189999,0.22281948272878588,0.19455745935668986,0.5304196252339792,0.8220401124613885,0.1592818823564512,0.6137924825095111
Área Plantada (ha),0.3110124383189999,1.0,1.0,0.22601335307331677,0.12812729357931477,0.24789526776254742,0.16025598362199783,-0.37082880619161646,0.21657601217078287
Área Colhida (ha),0.3110124383189999,1.0,1.0,0.22601335307331677,0.12812729357931477,0.24789526776254742,0.16025598362199783,-0.37082880619161646,0.21657601217078287
Produção (ton),0.22281948272878588,0.22601335307331677,0.22601335307331677,1.0,0.9950535015303374,0.942764815949942,0.7051598785407598,0.8105808987974277,-0.6168663649821118
Produtividade (ton/ha),0.19455745935668986,0.12812729357931477,0.12812729357931477,0.9950535015303374,1.0,0.9343459447989082,0.7011438981603165,0.8629836824155749,-0.6505492782948156
Savitzky-Golay,0.5304196252339792,0.24789526776254742,0.24789526776254742,0.942764815949942,0.9343459447989082,1.0,0.899907987149862,0.7901370014225114,-0.33738967461546715
Precipitacao_total_mm,0.8220401124613885,0.16025598362199783,0.16025598362199783,0.7051598785407598,0.7011438981603165,0.899907987149862,1.0,0.6700492230286283,0.059603850972802484
Temp_media_C,0.1592818823564512,-0.37082880619161646,-0.37082880619161646,0.8105808987974277,0.8629836824155749,0.7901370014225114,0.6700492230286283,1.0,-0.6105667389924017
Umidade_media,0.6137924825095111,0.21657601217078287,0.21657601217078287,-0.6168663649821118,-0.6505492782948156,-0.33738967461546715,0.059603850972802484,-0.6105667389924017,1.0
