Ano,Mes,NDVI_medio,Precipitacao_total_mm,Temp_media_C,Umidade_media
2020,1,0.67415,0.0,26.15940860215053,75.52016129032258
2020,2,0.6386499999999999,0.0,25.68850574712644,75.49281609195403
2020,3,0.597,97.6,26.621236559139785,59.70161290322581
2020,4,0.5849,74.4,23.197916666666668,63.06527777777778
2020,5,0.6096999999999999,149.4,19.976881720430107,65.49327956989248
2020,6,0.59955,58.2,21.236944444444443,71.91388888888889
2020,7,0.54085,2.4000000000000004,20.657258064516128,63.40725806451613
2020,8,0.4856,13.8,22.425940860215057,54.77150537634409
2020,9,0.4853,10.4,26.38152777777778,54.26805555555556
2020,10,0.5145,7.6,26.41720430107527,65.23655913978494
2020,11,0.5531,8.4,25.70861111111111,58.13472222222222
2020,12,0.6012500000000001,2.2,26.288978494623656,67.60618279569893
2021,1,0.6558999999999999,0.0,24.66174033149171,80.00552486187846
2021,2,0.6890000000000001,0.0,23.43779193205945,73.5732484076433
2021,3,0.651,0.0,24.07881355932204,73.55084745762711
2021,4,0.5767500000000001,0.0,22.047154471544715,67.79878048780488
2021,5,0.5115000000000001,0.0,19.766353383458647,69.35338345864662
2021,6,0.439,0.0,17.74982206405694,73.3220640569395
2021,7,0.36595,0.0,16.402477876106193,48.34513274336283
2021,8,0.4206499999999999,0.0,19.50467289719626,55.978971962616825
2021,9,0.51555,0.0,25.44341252699784,51.30237580993521
2021,10,0.5495,0.0,24.65368852459016,66.94808743169399
2021,11,0.5566,0.0,24.963590604026844,70.19630872483222
2021,12,0.603,0.0,25.242270058708414,68.0371819960861
2022,1,0.62905,86.8,25.711441307578006,72.0297176820208
2022,2,0.63545,61.4,25.41083481349911,68.2202486678508
2022,3,0.6366499999999999,139.6,24.695884773662552,75.6556927297668
2022,4,0.626,110.4,23.706976744186047,71.5436046511628
2022,5,0.58975,41.2,18.917445054945052,69.79258241758242
2022,6,0.5528500000000001,17.8,19.54694444444444,71.35833333333333
2022,7,0.5096,2.4,21.91813804173355,51.219903691813805
2022,8,0.50305,0.4,20.25947901591896,59.463096960926194
2022,9,0.5513,134.4,22.81670644391408,62.501193317422434
2022,10,0.575,94.8,23.86263440860215,67.72849462365592
2022,11,0.5706,70.2,23.92527777777778,54.12083333333333
2022,12,0.57465,73.60000000000001,25.88010752688172,69.68279569892474
2023,1,0.6288,243.4,24.482526881720432,76.98521505376344
2023,2,0.6738999999999999,216.6,24.06904761904762,78.79017857142857
2023,3,0.69465,126.2,25.25147849462365,74.20430107526882
2023,4,0.6740999999999999,267.2,23.360416666666666,74.61805555555556
2023,5,0.63205,107.0,21.740860215053765,68.62768817204301
2023,6,0.56975,86.8,19.055,67.29305555555555
2023,7,0.5283500000000001,6.0,21.54247311827957,59.54166666666666
2023,8,0.5136499999999999,46.0,24.273118279569893,55.78360215053763
2023,9,0.50085,120.4,25.954305555555557,58.34305555555556
2023,10,0.4968,71.8,27.628091397849463,61.53360215053763
2023,11,0.5175000000000001,111.6,27.954444444444444,56.75694444444444
2023,12,0.5972,117.4,27.56411290322581,66.85483870967742
2024,1,0.62215,173.8,26.512634408602157,70.93279569892474
2024,2,0.5660499999999999,129.2,26.43807471264368,72.01436781609195
2024,3,0.5698000000000001,116.6,27.163844086021506,70.28897849462365
2024,4,0.6293,97.4,25.541944444444447,73.475
2024,5,0.6309,50.0,22.25,65.27016129032258
2024,6,0.5318,0.0,24.00402777777778,49.90138888888889
2024,7,0.4343,17.6,20.376881720430102,55.280913978494624
2024,8,0.4548999999999999,42.6,22.56478494623656,41.28629032258065
2024,9,0.5858000000000001,48.2,26.356944444444444,45.10694444444445
2024,10,0.623,99.8,26.71787634408602,60.034946236559136
2024,11,0.5791,155.6,26.40458333333333,65.54861111111111
2024,12,0.5495,146.0,25.585819793205317,74.47267355982275
